,g,Err_g,r,Err_r,i,Err_i,z,Err_z,extinction_i,w1,w1_sig,w2,w2_sig,psfMag_g,psfMag_r,psfMag_i,psfMag_z,index,g-r,r-i,i-z,z-w1,w1-w2,max_pis,sigs,PhotoZ,Mean_PhotoZ,Mean_delta
52,20.048560000000002,0.02747707,19.34076,0.02133472,18.943579999999997,0.02142035,18.796120000000002,0.07245377,0.06483468,15.294,0.044000000000000004,14.95,0.071,20.55827,19.96657,19.66519,19.56202,52,0.7078000000000024,0.3971800000000023,0.14745999999999526,3.5021200000000015,0.3440000000000012,0.9448134303092957,0.13575637340545654,0.19724349936616625,0.36203670501708984,0.15076008439064026
53,20.91621,0.04093425,20.158070000000002,0.03160068,19.86957,0.03421886,19.44596,0.08647776,0.05851789,16.338,0.07,15.888,0.162,21.476229999999997,20.9199,20.65403,20.06936,53,0.7581399999999974,0.28850000000000264,0.42361000000000004,3.1079599999999985,0.45000000000000107,0.8952513337135315,0.1687716245651245,0.2791215642235305,0.6243265867233276,0.19783388078212738
54,18.110329999999998,0.008303594000000001,17.483929999999997,0.007234458,17.11501,0.007289039000000001,16.87753,0.01813435,0.05418259,14.509,0.027999999999999997,14.449000000000002,0.052000000000000005,19.57178,19.227529999999998,18.84915,18.45417,54,0.6264000000000003,0.3689199999999957,0.23748000000000147,2.36853,0.05999999999999872,0.959171712398529,0.17249810695648193,0.07887857685967457,0.26173409819602966,0.18579250574111938
55,19.52828,0.01932634,18.943579999999997,0.01671812,18.68995,0.0188167,18.427310000000002,0.05964644,0.06480398,16.285,0.057,16.235,0.221,20.26108,19.707420000000003,19.61347,19.30112,55,0.5847000000000016,0.2536299999999976,0.26263999999999754,2.142310000000002,0.05000000000000071,0.5559415221214294,0.2505742311477661,0.1285696933215846,1.2014014720916748,0.38112348318099976
56,20.30197,0.02866365,19.60523,0.02224369,19.19344,0.02228042,18.84824,0.06455999,0.06570511,16.31,0.075,15.86,0.083,20.62029,19.97439,19.60204,19.226979999999998,56,0.6967400000000019,0.4117899999999999,0.3451999999999984,2.538240000000002,0.4499999999999993,0.6981821656227112,0.1979506015777588,0.2196741094159908,1.1436406373977661,0.28609439730644226
57,21.188579999999998,0.049592699999999997,20.148310000000002,0.03169565,19.69535,0.02954859,19.213910000000002,0.08549916,0.08144182,16.122,0.057999999999999996,15.808,0.115,21.82421,20.8962,20.499470000000002,19.95738,57,1.040269999999996,0.4529600000000009,0.4814399999999992,3.091910000000002,0.31400000000000006,0.872913122177124,0.148337721824646,0.2637835210986005,0.6035391092300415,0.18371659517288208
58,19.7758,0.02455262,18.96357,0.01767993,18.57551,0.01844963,18.292579999999997,0.0632428,0.08176435,15.12,0.022000000000000002,14.772,0.049,20.48517,19.78164,19.450229999999998,19.08405,58,0.8122299999999996,0.3880599999999994,0.2829300000000039,3.172579999999998,0.347999999999999,0.9327841401100159,0.13952398300170898,0.17306359897246454,0.3823409378528595,0.15879596769809723
59,20.24188,0.04452403,19.28448,0.02801487,18.8223,0.02621558,18.41423,0.07062852,0.05532173,15.027999999999999,0.044000000000000004,14.542,0.05,21.62398,20.80194,20.40106,19.7976,59,0.9573999999999998,0.46218000000000004,0.4080699999999986,3.386230000000001,0.4859999999999989,0.9737122654914856,0.09724682569503784,0.3364998233965042,0.38999560475349426,0.10459666699171066
60,21.38223,0.06934602,20.70886,0.05574458,20.226129999999998,0.05056418,20.06286,0.17078959999999999,0.05569605,15.806,0.047,15.444,0.161,22.00678,21.56764,21.16204,20.74455,60,0.6733699999999985,0.48273000000000366,0.16326999999999714,4.256860000000001,0.3619999999999983,0.9520711898803711,0.13418060541152954,0.4702841379439317,0.5793688297271729,0.14556261897087097
61,20.434279999999998,0.02577249,19.63104,0.01774564,19.34524,0.018326099999999998,19.24401,0.05972144,0.0569534,15.759,0.051,15.591,0.098,20.59825,19.863020000000002,19.58469,19.46777,61,0.8032399999999988,0.2857999999999983,0.10123000000000104,3.485009999999999,0.16800000000000104,0.8391360640525818,0.1736232042312622,0.23390549771778837,0.6465867757797241,0.2174864411354065
62,19.68401,0.02467003,19.039279999999998,0.01926349,18.62695,0.02001632,18.6181,0.08925412,0.05502672,15.195,0.021,14.919,0.057,20.41844,19.95081,19.539179999999998,19.42788,62,0.6447300000000027,0.4123299999999972,0.008850000000002467,3.423099999999998,0.2759999999999998,0.9104039669036865,0.17496973276138306,0.3111809230642488,0.5752946138381958,0.1994425356388092
63,19.79576,0.02445831,18.82161,0.01482636,18.3536,0.01482391,18.06178,0.05074621,0.05418219,15.175,0.024,14.684000000000001,0.049,20.52947,19.78361,19.29099,18.84905,63,0.9741500000000016,0.4680099999999996,0.2918200000000013,2.886779999999998,0.49099999999999966,0.9210647344589233,0.13125258684158325,0.17872690478093062,0.4240117371082306,0.15441907942295074
